ep,ep_reward,time
296,-334.7588569302887,6.534854888916016
297,-368.4958556176594,1.5505175590515137
298,-233.03467862647727,1.4690237045288086
299,-414.797019206292,1.4793856143951416
300,-266.90760296952374,1.4742581844329834
301,-242.8957173332604,1.3003661632537842
302,-402.68409087697546,1.5592305660247803
303,-404.2060948388711,1.6379601955413818
304,-266.61224761177425,1.389899492263794
305,-392.0735262343485,1.4723005294799805
306,-287.19834246465217,1.4614346027374268
307,-398.702682934698,1.93873929977417
308,-430.71122233722775,1.4548084735870361
309,-229.34217308207172,1.5281243324279785
310,-280.9627375401019,2.648088216781616
311,-238.74313836755988,1.3706564903259277
312,-299.56757630416143,1.456023931503296
313,-433.6252120181824,1.6950757503509521
314,-357.58755061036413,1.461195468902588
315,-295.08668227519513,1.8550825119018555
